;1;2;3;4;5;6;7;8
74;71;88;90;80;79;79;79;83
75;81;88;86;76;70;87;87;83
76;78;86;78;72;87;72;70;71
77;87;78;75;73;70;74;85;79
78;74;70;78;72;86;87;82;89
79;88;87;79;70;89;77;89;89
80;79;82;72;83;84;71;88;88
81;86;86;82;88;77;74;79;81
82;87;88;74;71;89;81;79;84
83;87;86;74;83;86;80;73;74
84;87;85;82;85;81;77;83;86
85;73;76;89;71;70;82;77;70
86;87;78;80;85;80;87;73;74
87;73;78;71;84;83;71;85;86
88;70;72;72;79;74;89;90;71
89;72;71;76;73;74;87;76;70
90;75;81;82;81;85;89;90;82
91;83;87;75;74;83;79;72;86
92;82;77;70;79;90;78;85;79
93;86;84;71;74;80;87;71;87
94;79;74;81;86;76;83;80;82
95;85;70;78;72;78;88;72;72
96;88;76;89;84;73;90;76;86
97;86;80;74;78;75;78;73;83
98;89;79;74;83;84;79;89;82
99;73;76;79;78;71;87;70;86
100;88;81;70;78;70;76;82;77
101;84;84;70;75;78;70;86;88
102;84;75;78;82;72;70;76;84
103;78;87;75;70;70;89;85;76
104;88;85;77;74;88;73;87;84
105;72;74;71;78;85;74;83;82
106;74;83;71;78;88;81;90;87
107;75;78;80;74;78;87;86;73
108;71;81;75;73;84;90;85;79
109;82;74;86;75;82;71;85;81
110;80;75;82;83;81;79;76;74
111;73;88;78;79;74;90;79;81
112;78;77;84;70;86;78;77;79
113;74;82;87;70;82;86;70;80
114;74;86;81;79;83;74;79;73
115;79;85;80;84;90;83;81;85
116;73;84;90;82;75;73;73;86
117;70;89;80;79;78;77;79;72
118;80;70;83;75;85;78;72;87
119;78;87;72;85;75;84;70;74
120;86;83;87;70;74;73;82;76
121;85;78;83;88;81;74;73;82
122;82;90;76;86;88;73;77;90
123;72;81;81;86;74;89;73;76
124;80;78;76;90;70;74;79;70
125;76;77;83;78;74;88;75;80
126;72;89;85;82;87;75;80;82
127;86;77;84;74;84;81;73;87
128;72;77;83;71;82;78;76;87
129;79;81;71;71;76;87;81;70
130;70;71;89;89;79;90;79;84
131;89;89;80;85;71;84;84;71
132;72;86;71;88;83;73;82;81
133;90;88;84;90;85;83;84;71
134;88;88;70;87;81;83;80;70
135;72;72;79;70;82;76;88;76
136;70;90;79;85;80;85;76;86
137;81;88;72;82;80;87;83;82
138;86;80;86;71;71;74;88;76
139;78;89;76;70;84;70;79;80
140;90;80;84;79;86;72;83;74
141;75;79;70;77;83;77;79;71
142;82;78;90;70;85;70;76;77
143;84;84;80;83;81;90;78;74
144;81;76;84;84;77;77;79;89
145;81;90;90;77;78;73;87;78
146;76;89;76;71;80;90;77;72
147;86;87;73;89;90;87;81;74
148;88;78;89;71;87;76;84;74
149;85;74;70;74;89;84;75;89
150;72;78;90;74;80;81;83;83
151;77;74;87;72;87;77;81;73
152;74;72;78;77;84;84;70;86
153;86;80;73;81;86;82;90;86
154;77;83;90;82;88;73;85;84
155;77;88;81;74;90;86;83;79
156;87;88;89;82;86;88;81;89
157;73;71;75;89;73;73;71;85
158;71;88;71;85;81;83;87;80
159;89;74;83;72;70;86;77;71
160;79;72;82;73;84;89;77;73
161;86;88;76;82;82;72;77;74
162;79;88;71;70;80;77;90;79
163;81;75;72;86;83;86;88;76
164;79;80;89;75;87;90;88;80
165;74;84;88;85;87;81;75;81
166;80;71;75;79;71;89;88;83
167;82;74;73;79;76;80;74;85
168;84;71;73;82;82;81;89;89
